age,birthDayOfMonth,birthMonth,birthYear,bustSize,class,cupSize,height,hipSize,name,waistSize,weight,voiceBy
32,17,8,1987,81.0,class FemaleRealTalent,C,176.0,84.0,シャーロット・ケンプ・ミュール,58.0,54.0,
41,9,5,1978,86.0,class FemaleRealTalent,B,168.0,86.0,アネット・ドーン,61.0,52.0,
31,28,5,1988,77.0,class FemaleRealTalent,A,170.0,87.0,山川紗弥,58.0,42.0,
34,24,12,1985,84.0,class FemaleRealTalent,D,163.0,83.0,北川珠望,60.0,43.0,
38,13,5,1981,86.0,class FemaleRealTalent,C,163.0,86.0,サニー・レオーネ,61.0,50.0,
38,27,9,1981,81.0,class FemaleRealTalent,D,163.0,89.0,イーダ・ヤングビスト,53.0,49.0,
27,13,4,1992,135.0,class FemaleRealTalent,G,163.0,140.0,マリアユリコ,110.0,112.0,
48,18,6,1971,91.0,class FemaleRealTalent,DD,165.0,86.0,ドミニク・シモン,58.0,53.0,
22,27,7,1997,79.0,class FemaleRealTalent,D,155.0,81.0,莉音,54.0,40.0,
33,19,2,1986,86.0,class FemaleRealTalent,C,175.0,89.0,ジェイド・ニコル,61.0,53.0,
29,1,10,1990,95.0,class FemaleRealTalent,H,160.0,89.0,青井鈴音,60.0,50.0,
45,27,5,1974,91.0,class FemaleRealTalent,FF,160.0,97.0,ヴァネッサ・ブルー,71.0,55.0,
61,9,7,1958,94.0,class FemaleRealTalent,D,170.0,91.0,ジーニー・ペッパー,64.0,54.0,
36,29,9,1983,84.0,class FemaleRealTalent,C,169.0,85.0,丸尾歩,55.0,48.0,
27,3,5,1992,84.0,class FemaleRealTalent,C,163.0,86.0,松田侑子,60.0,49.0,
44,31,7,1975,81.0,class FemaleRealTalent,D,165.0,89.0,ジョディ・アン・パターソン,58.0,51.0,
34,28,1,1986,80.0,class FemaleRealTalent,C,155.0,83.0,船橋梨子,55.0,38.0,
46,5,5,1973,86.0,class FemaleRealTalent,B,163.0,81.0,ブルック・アシュレイ,61.0,52.0,
40,8,10,1979,86.0,class FemaleRealTalent,C,174.0,89.0,ジョーダン・メイズ,58.0,54.0,
38,9,7,1981,86.0,class FemaleRealTalent,B,163.0,84.0,ニョミ・マルセラ,56.0,48.0,
